KeyParamGroup,KeyGroup,ParamGroup,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,NSliceTimes,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,FilePath
acquisition-refaced_datatype-anat_suffix-T1w__1,acquisition-refaced_datatype-anat_suffix-T1w,1,0.00351,,,9.0,,,,,,,0,2.0,1.0,,1.81,,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000393599/ses-PNC1/anat/sub-1000393599_ses-PNC1_acq-refaced_T1w.nii.gz
acquisition-refaced_datatype-anat_suffix-T1w__1,acquisition-refaced_datatype-anat_suffix-T1w,1,0.00351,,,9.0,,,,,,,0,2.0,1.0,,1.81,,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000881804/ses-PNC1/anat/sub-1000881804_ses-PNC1_acq-refaced_T1w.nii.gz
acquisition-seVariant_suffix-asl__1,acquisition-seVariant_suffix-asl,1,,,,,,,,,,,0,,,,,,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000393599/ses-PNC1/perf/sub-1000393599_ses-PNC1_acq-seVariant_asl.nii.gz
acquisition-seVariant_suffix-asl__1,acquisition-seVariant_suffix-asl,1,,,,,,,,,,,0,,,,,,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000881804/ses-PNC1/perf/sub-1000881804_ses-PNC1_acq-seVariant_asl.nii.gz
acquisition-singleband_datatype-func_suffix-bold_task-rest__1,acquisition-singleband_datatype-func_suffix-bold_task-rest,1,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90.0,,,,,,,46,,1.0,j-,3.0,0.0346501,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000393599/ses-PNC1/func/sub-1000393599_ses-PNC1_task-rest_acq-singleband_bold.nii.gz
datatype-dwi_run-1_suffix-dwi__1,datatype-dwi_run-1_suffix-dwi,1,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90.0,,,,,,,70,3.0,0.75,j-,8.1,0.0338665,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000393599/ses-PNC1/dwi/sub-1000393599_ses-PNC1_run-01_dwi.nii.gz
datatype-dwi_run-1_suffix-dwi__1,datatype-dwi_run-1_suffix-dwi,1,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90.0,,,,,,,70,3.0,0.75,j-,8.1,0.0338665,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000881804/ses-PNC1/dwi/sub-1000881804_ses-PNC1_run-01_dwi.nii.gz
datatype-dwi_run-2_suffix-dwi__1,datatype-dwi_run-2_suffix-dwi,1,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90.0,,,,,,,70,3.0,0.75,j-,8.1,0.0338665,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000393599/ses-PNC1/dwi/sub-1000393599_ses-PNC1_run-02_dwi.nii.gz
datatype-dwi_run-2_suffix-dwi__1,datatype-dwi_run-2_suffix-dwi,1,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90.0,,,,,,,70,3.0,0.75,j-,8.1,0.0338665,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000881804/ses-PNC1/dwi/sub-1000881804_ses-PNC1_run-02_dwi.nii.gz
datatype-dwi_run-3_suffix-dwi__1,datatype-dwi_run-3_suffix-dwi,1,,,,,,,,,,,0,,,,,,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000393599/ses-PNC1/dwi/sub-1000393599_ses-PNC1_run-3_dwi.nii.gz
datatype-fmap_fmap-magnitude1_suffix-magnitude1__1,datatype-fmap_fmap-magnitude1_suffix-magnitude1,1,0.00269,,,60.0,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,1.0,j-,1.0,,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000393599/ses-PNC1/fmap/sub-1000393599_ses-PNC1_magnitude1.nii.gz
datatype-fmap_fmap-magnitude1_suffix-magnitude1__2,datatype-fmap_fmap-magnitude1_suffix-magnitude1,2,0.00269,,,60.0,acquisition-se_suffix-asl,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,,,0,,1.0,j-,1.0,,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000881804/ses-PNC1/fmap/sub-1000881804_ses-PNC1_magnitude1.nii.gz
datatype-fmap_fmap-magnitude2_suffix-magnitude2__1,datatype-fmap_fmap-magnitude2_suffix-magnitude2,1,0.00527,,,60.0,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,1.0,j-,1.0,,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000393599/ses-PNC1/fmap/sub-1000393599_ses-PNC1_magnitude2.nii.gz
datatype-fmap_fmap-phase1_suffix-phase1__1,datatype-fmap_fmap-phase1_suffix-phase1,1,0.00269,,,60.0,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,1.0,j-,1.0,,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000393599/ses-PNC1/fmap/sub-1000393599_ses-PNC1_phase1.nii.gz
datatype-fmap_fmap-phase1_suffix-phase1__2,datatype-fmap_fmap-phase1_suffix-phase1,2,0.00269,,,60.0,acquisition-se_suffix-asl,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,,,0,,1.0,j-,1.0,,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000881804/ses-PNC1/fmap/sub-1000881804_ses-PNC1_phase1.nii.gz
datatype-fmap_fmap-phase2_suffix-phase2__1,datatype-fmap_fmap-phase2_suffix-phase2,1,0.00527,,,60.0,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,1.0,j-,1.0,,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000393599/ses-PNC1/fmap/sub-1000393599_ses-PNC1_phase2.nii.gz
datatype-fmap_fmap-phase2_suffix-phase2__2,datatype-fmap_fmap-phase2_suffix-phase2,2,0.00527,,,60.0,acquisition-se_suffix-asl,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,,,0,,1.0,j-,1.0,,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000881804/ses-PNC1/fmap/sub-1000881804_ses-PNC1_phase2.nii.gz
datatype-fmap_suffix-magnitude3__1,datatype-fmap_suffix-magnitude3,1,,,,,,,,,,,0,,,,,,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000881804/ses-PNC1/fmap/sub-1000881804_ses-PNC1_magnitude3.nii.gz
datatype-func_suffix-bold_task-frac2back__1,datatype-func_suffix-bold_task-frac2back,1,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90.0,,,,,,,46,,1.0,j-,3.0,0.0346501,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000393599/ses-PNC1/func/sub-1000393599_ses-PNC1_task-frac2back_bold.nii.gz
datatype-func_suffix-bold_task-frac2back__1,datatype-func_suffix-bold_task-frac2back,1,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90.0,,,,,,,46,,1.0,j-,3.0,0.0346501,/Users/scovitz/Downloads/PNC_Test_Dir/sub-1000881804/ses-PNC1/func/sub-1000881804_ses-PNC1_task-frac2back_bold.nii.gz
